name_measure,split_0.1,split_0.2,split_0.3,split_0.4,split_0.5,split_0.6,split_0.7,split_0.8,split_0.9
accuracy_score,0.7601476014760147,0.7365313653136532,0.7440344403444035,0.7361623616236163,0.7288035450516988,0.7288615384615384,0.7170358649789029,0.6938624826949701,0.6438063986874487
precision_macro,0.7498415262435055,0.7357607724781892,0.7343696630767327,0.7307091512494177,0.7259680514659937,0.7201493278095481,0.7135635871382252,0.6911885718821094,0.6533162306071603
precision_micro,0.7601476014760147,0.7365313653136532,0.7440344403444035,0.7361623616236163,0.7288035450516988,0.7288615384615384,0.7170358649789029,0.6938624826949701,0.6438063986874487
precision_weighted,0.7620571674318796,0.7399594759225213,0.7444146669431474,0.7368355993120168,0.7290226595273743,0.728840802324871,0.7175748257566963,0.6958545458099057,0.6522283008848075
recall_macro,0.7258707760796953,0.707583606907363,0.7128244581344015,0.6992183742080781,0.6910915828117746,0.6897689205392021,0.67436230582405,0.6430551324533689,0.5817237534040873
recall_micro,0.7601476014760147,0.7365313653136532,0.7440344403444035,0.7361623616236163,0.7288035450516988,0.7288615384615384,0.7170358649789029,0.6938624826949701,0.6438063986874487
recall_weighted,0.7601476014760147,0.7365313653136532,0.7440344403444035,0.7361623616236163,0.7288035450516988,0.7288615384615384,0.7170358649789029,0.6938624826949701,0.6438063986874487
f1_macro,0.7340807110645119,0.7173004427526728,0.7210122264846739,0.7111164035878721,0.7050186031731138,0.701788585321758,0.6889586415515176,0.6589335667573463,0.5985661031345725
f1_micro,0.7601476014760147,0.7365313653136532,0.7440344403444035,0.7361623616236163,0.7288035450516988,0.7288615384615384,0.7170358649789029,0.6938624826949701,0.6438063986874487
f1_weighted,0.758358135005534,0.7348161399132196,0.7422437460459584,0.7337108417952057,0.7260507965516555,0.7264087880140343,0.7136868961289068,0.6891278888210003,0.6328112528127
